Description,Shapes
FromRGB_lod0/weight,[ 1  1  3 64]
FromRGB_lod0/bias,[64]
256x256/Conv0/weight,[ 3  3 64 64]
256x256/Conv0/bias,[64]
256x256/Conv1_down/weight,[  3   3  64 128]
256x256/Conv1_down/bias,[128]
FromRGB_lod1/weight,[  1   1   3 128]
FromRGB_lod1/bias,[128]
128x128/Conv0/weight,[  3   3 128 128]
128x128/Conv0/bias,[128]
128x128/Conv1_down/weight,[  3   3 128 256]
128x128/Conv1_down/bias,[256]
FromRGB_lod2/weight,[  1   1   3 256]
FromRGB_lod2/bias,[256]
64x64/Conv0/weight,[  3   3 256 256]
64x64/Conv0/bias,[256]
64x64/Conv1_down/weight,[  3   3 256 512]
64x64/Conv1_down/bias,[512]
FromRGB_lod3/weight,[  1   1   3 512]
FromRGB_lod3/bias,[512]
32x32/Conv0/weight,[  3   3 512 512]
32x32/Conv0/bias,[512]
32x32/Conv1_down/weight,[  3   3 512 512]
32x32/Conv1_down/bias,[512]
FromRGB_lod4/weight,[  1   1   3 512]
FromRGB_lod4/bias,[512]
16x16/Conv0/weight,[  3   3 512 512]
16x16/Conv0/bias,[512]
16x16/Conv1_down/weight,[  3   3 512 512]
16x16/Conv1_down/bias,[512]
FromRGB_lod5/weight,[  1   1   3 512]
FromRGB_lod5/bias,[512]
8x8/Conv0/weight,[  3   3 512 512]
8x8/Conv0/bias,[512]
8x8/Conv1_down/weight,[  3   3 512 512]
8x8/Conv1_down/bias,[512]
FromRGB_lod6/weight,[  1   1   3 512]
FromRGB_lod6/bias,[512]
4x4/Conv/weight,[  3   3 513 512]
4x4/Conv/bias,[512]
4x4/Dense0/weight,[8192  512]
4x4/Dense0/bias,[512]
4x4/Dense1/weight,[512   1]
4x4/Dense1/bias,[1]
