Description,Shapes
lod,[]
input0.weight,[64  3  1  1]
input0.bias,[64]
layer0.weight,[64 64  3  3]
layer0.bias,[64]
layer1.weight,[128  64   3   3]
layer1.bias,[128]
layer1.blur.kernel,[64  1  3  3]
input1.weight,[128   3   1   1]
input1.bias,[128]
layer2.weight,[128 128   3   3]
layer2.bias,[128]
layer3.weight,[256 128   3   3]
layer3.bias,[256]
layer3.blur.kernel,[128   1   3   3]
input2.weight,[256   3   1   1]
input2.bias,[256]
layer4.weight,[256 256   3   3]
layer4.bias,[256]
layer5.weight,[512 256   3   3]
layer5.bias,[512]
layer5.blur.kernel,[256   1   3   3]
input3.weight,[512   3   1   1]
input3.bias,[512]
layer6.weight,[512 512   3   3]
layer6.bias,[512]
layer7.weight,[512 512   3   3]
layer7.bias,[512]
layer7.blur.kernel,[512   1   3   3]
input4.weight,[512   3   1   1]
input4.bias,[512]
layer8.weight,[512 512   3   3]
layer8.bias,[512]
layer9.weight,[512 512   3   3]
layer9.bias,[512]
layer9.blur.kernel,[512   1   3   3]
input5.weight,[512   3   1   1]
input5.bias,[512]
layer10.weight,[512 512   3   3]
layer10.bias,[512]
layer11.weight,[512 512   3   3]
layer11.bias,[512]
layer11.blur.kernel,[512   1   3   3]
input6.weight,[512   3   1   1]
input6.bias,[512]
layer12.weight,[512 513   3   3]
layer12.bias,[512]
layer13.weight,[ 512 8192]
layer13.bias,[512]
layer14.weight,[  1 512]
layer14.bias,[1]
